Số báo danh,Toán,Văn,Ngoại Ngữ,Lý,Hoá,Sinh,Sử,Địa lý,GDCD
01003145,7.4,4,8.4,6.25,4.5,5.75,-1,-1,-1
01003146,6.8,7.5,7.5,-1,-1,-1,9.25,9.4,8.75
01003147,4.2,4,4.5,-1,-1,-1,4.75,4.4,7.25
01003148,7.6,7.33,6.25,-1,-1,-1,6.75,5,7.5
01003149,7.2,7.75,7.5,-1,-1,-1,7,9.4,8
01003150,8,8.25,4.5,-1,-1,-1,8.25,8.6,6.5
01003151,7.4,8,4,8.25,5.75,6.5,-1,-1,-1
01003152,7,7.25,7.75,-1,-1,-1,7.25,5.4,7.5
01003153,5.8,5.75,7.5,-1,-1,-1,7,6.6,6.75
01003154,6.4,7.5,7,-1,-1,-1,6.5,8.2,9.25
01003155,5.2,6.66,-1,-1,-1,-1,5.5,7.5,5
01003156,4.6,7,5.5,-1,-1,-1,5.5,3,8.25
01003157,7.4,8.25,6.8,5.25,7,4.75,-1,-1,-1
01003158,8.4,7.75,7.75,-1,-1,-1,6,9,8.5
01003159,6.6,6.25,6.75,-1,-1,-1,5.75,3.4,8
01003160,6.8,6.75,7,-1,-1,-1,7.5,4.6,9
01003161,8,8,9,-1,-1,-1,7.75,8.2,7.75
01003162,8.6,8.25,7,-1,-1,-1,6,9.2,7.75
01003163,6.8,6.75,9,3.25,4.5,6.75,-1,-1,-1
01003164,8.4,9,8.8,-1,-1,-1,-1,8.75,-1
01003165,8.6,9,7.5,-1,-1,-1,6,7.8,8
01003166,8.8,3.5,8.2,7.75,5,6,-1,-1,-1
01003167,4.6,4.25,-1,-1,-1,-1,3.25,4.75,-1
01003168,5.6,7.5,6.5,-1,-1,-1,6.5,5.2,6.75
01003169,7.8,7.75,6.75,-1,-1,-1,7.75,8.6,8
01003170,8,6.25,4.5,-1,-1,-1,6.25,8.2,7.25
01003171,7.4,8.25,5.25,-1,-1,-1,8,7.2,7
01003172,7.4,8.5,1.5,-1,-1,-1,5.5,8.4,7.5
01003173,6.6,8,7,-1,-1,-1,7.25,6.2,7.5
01003174,8,8,-1,8.25,9,8,-1,-1,-1
01003175,8.6,7.25,7.5,-1,-1,-1,8.25,9,9.25
01003176,6,8,6.75,-1,-1,-1,7,7.8,7.25
01003177,5.6,7.5,-1,-1,-1,-1,6.5,6.75,6.75
01003178,-1,-1,-1,-1,-1,-1,-1,-1,-1
01003179,7.6,8,7.5,-1,-1,-1,6.25,7.6,8
01003180,8.8,4.25,8.8,7.25,5,6.5,-1,-1,-1
01003181,7.8,7.25,7.75,-1,-1,-1,6.25,7.2,8.25
01003182,7.4,5,3.2,3,4.75,5.5,-1,-1,-1
01003183,4.8,5,3.75,-1,-1,-1,5.5,2.4,7
01003184,8.6,6,8.2,5.5,4.75,7,-1,-1,-1
01003185,5.2,7.25,7.5,-1,-1,-1,7.5,3.4,7.75
01003186,8.6,7.5,-1,-1,-1,-1,5.75,9,7
01003187,7.8,8,-1,-1,-1,-1,6.5,8,7
01003188,8.6,7.5,8.5,-1,-1,-1,6.25,9.6,9
01003189,6.8,9,9.75,-1,-1,-1,9,7.8,8.25
01003190,8.6,8.75,6.2,7.75,2.5,4,-1,-1,-1
01003191,5.2,7.75,-1,-1,-1,-1,5.25,7.25,-1
01003192,8.2,8.5,7.75,-1,-1,-1,7.5,8,7.5
01003193,6.4,7.25,6.5,-1,-1,-1,7,8.8,8.75
01003194,4,6,3.5,-1,-1,-1,4.5,3.4,7.5
01003195,6.6,8,7.5,-1,-1,-1,6.5,6.4,9
01003196,6.2,6.25,-1,-1,-1,-1,6.75,7,-1
01003197,9.2,7,8.4,8.5,5.75,6.75,-1,-1,-1
01003198,6.8,7.5,6.75,-1,-1,-1,7,5.2,7.25
01003199,-1,-1,-1,-1,-1,-1,-1,-1,-1
01003200,9,9,7.5,-1,-1,-1,6.5,7,8.5
01003201,2.8,6,2,-1,-1,-1,5.5,3.8,8.5
01003202,7.6,8.75,8.6,8,7.25,8,-1,-1,-1
01003203,3.4,2.25,-1,-1,-1,-1,2.5,2.25,-1
01003204,7.2,8.25,6,-1,-1,-1,7.5,6.8,8.75
01003205,7.8,7,8.5,-1,-1,-1,7.25,7,6.75
01003206,8.2,6,6.6,7,4.25,8,-1,-1,-1
01003207,7.4,6.75,8.5,-1,-1,-1,6.75,8.2,7.75
01003208,8,6.5,-1,-1,-1,-1,5.5,5.75,-1
01003209,5,6.25,4.75,-1,-1,-1,5,2.2,6.75
01003210,8.8,3.75,9,9.5,4.75,6,-1,-1,-1
01003211,3.4,6.25,-1,-1,-1,-1,6.75,5,-1
01003212,7.8,6,-1,7.5,5,7.75,-1,-1,-1
01003213,8.2,5,8.2,7.5,5,6.75,-1,-1,-1
01003214,7.2,8.25,7,6,8,5.5,-1,-1,-1
01003215,8.2,8.25,8,8.25,5.5,8,-1,-1,-1
01003216,8.6,8,6.75,-1,-1,-1,6.5,7.2,7.75
01003217,9.2,7.75,8.4,8.25,6.5,8,-1,-1,-1
01003218,7.8,6,7.8,6.25,4.75,3.25,-1,-1,-1
01003219,8,3.75,-1,7.25,3,5.75,-1,-1,-1
01003220,7.8,6.75,7,-1,-1,-1,4.75,9.4,7.5
01003221,6.6,6.75,-1,5.75,6,7.75,-1,-1,-1
01003222,6.2,4.75,8.6,4.5,4.25,6.75,-1,-1,-1
01003223,7.8,8.25,9,-1,-1,-1,7.25,4.8,7.25
01003224,8.4,8.75,8,-1,-1,-1,8.5,8.6,8.75
01003225,7.6,7,5.75,-1,-1,-1,7.25,6,7.75
01003226,3.6,2,-1,-1,-1,-1,5.75,5.75,-1
01003227,6.6,6.75,-1,-1,-1,-1,8.5,8,-1
01003228,5.2,5.5,7,-1,-1,-1,5.5,7.4,8.25
01003229,8.4,5,6.4,7.25,4.25,5.75,-1,-1,-1
01003230,8,8.75,6.25,-1,-1,-1,8,8.8,8.5
01003231,-1,-1,-1,-1,-1,-1,-1,-1,-1
01003232,7.2,9.5,8.75,-1,-1,-1,7.75,8.8,8.75
01003233,4.2,7,-1,-1,-1,-1,5.75,7.75,5.25
01003234,4.6,6,-1,-1,-1,-1,6.75,5.25,-1
01003235,6.6,6.75,6.25,-1,-1,-1,5.75,7.2,6.75
01003236,5.8,4,5.4,6,3.75,7.75,-1,-1,-1
01003237,7.2,6.5,5,-1,-1,-1,5,7.8,9
01003238,4.8,6.5,4,-1,-1,-1,5.5,3.2,6
01003239,7.2,3.75,6.2,4.5,4.5,5.75,-1,-1,-1
01003240,2.2,4.5,-1,-1,-1,-1,7.75,7.75,-1
01003241,6.8,8,7,-1,-1,-1,6.25,6.4,7.5
01003242,5.6,6.5,6,-1,-1,-1,7.25,5.4,7.75
01003243,7.6,7.25,6.75,-1,-1,-1,6.5,9.2,8
01003244,7.6,4.5,8.6,6.5,3,6.5,-1,-1,-1
01003245,8.4,7.5,8,7.75,6.75,7,-1,-1,-1
01003246,4.8,7.5,4,-1,-1,-1,7.5,5.2,7.5
01003247,7.8,7.5,7.5,-1,-1,-1,9.5,7.4,8
01003248,6,7,8,-1,-1,-1,7,5.4,9
01003249,8.2,5.25,-1,8,5.25,6.25,-1,-1,-1
01003250,6.6,6,-1,-1,-1,-1,8.75,6,-1
01003251,8.8,8.75,8,9.25,5.75,7.25,-1,-1,-1
01003252,7.6,8,-1,-1,-1,-1,8.75,9,8.5
01003253,8.6,7.5,8,-1,-1,-1,6.25,7.8,8.25
01003254,8.2,3.5,7.8,7.5,3,4,-1,-1,-1
01003255,7.6,7.75,-1,-1,-1,-1,8,9.5,7.5
01003256,6.2,4,5.75,-1,-1,-1,5.75,3.6,7
01003257,7.4,6.75,5.5,-1,-1,-1,6,6.4,7.75
01003258,8,7.75,8,-1,-1,-1,6.75,8.4,8.25
01003259,8.2,8.25,4,7.25,6.5,6.75,-1,-1,-1
01003260,7.6,8.5,6.5,-1,-1,-1,8.5,8.2,8.75
01003261,8.2,9,8.5,-1,-1,-1,7.5,9,9.25
01003262,8.2,8.25,8.5,-1,-1,-1,7,7.8,8.75
01003263,9.4,9,6.75,-1,-1,-1,7.75,8.4,9
01003264,9.4,9,9.5,-1,-1,-1,8.5,8.8,9.25
01003265,8.2,8.75,5.5,-1,-1,-1,6.25,5.6,8
01003266,7,7.75,6.25,-1,-1,-1,6.25,5,8
01003267,8.2,6.5,8.2,7,4.75,7.5,-1,-1,-1
01003268,6.8,7.5,6.25,-1,-1,-1,6.5,8,7.75
01003269,8.2,4,6.5,-1,-1,-1,7,7.8,7.75
01003270,8,7.75,-1,-1,-1,-1,5.75,7.5,7.75
01003271,7.8,7.75,8.75,-1,-1,-1,7.75,8.6,8.75
01003272,8.2,4.75,9,7.75,4.25,7.5,-1,-1,-1
01003273,8.4,8.25,8,-1,-1,-1,6.75,8.8,8.5
01003274,7,8.75,5.75,-1,-1,-1,6.75,9.4,8
01003275,7.6,7,7.75,-1,-1,-1,7,8.4,6.25
01003276,7.6,8,6.75,-1,-1,-1,6.5,7.6,7.5
01003277,3,7,-1,-1,-1,-1,3.25,4.75,-1
01003278,5.6,6,4.5,-1,-1,-1,6.25,4.6,7.25
01003279,8.6,8.5,5.8,8.25,4.5,6.5,-1,-1,-1
01003280,7.4,5.25,5.6,4.5,4.75,7,-1,-1,-1
01003281,8.2,2.75,8.4,5.75,5.75,6.75,-1,-1,-1
01003282,7.2,8,7.5,-1,-1,-1,6.75,6.8,8
01003283,6.6,6.25,5,-1,-1,-1,4.75,3.8,8
01003284,4.2,6.25,2.5,-1,-1,-1,4.75,3.4,7.5
01003285,7,8.5,-1,-1,-1,-1,7.75,8.75,8.75
01003286,6,6.75,5.75,-1,-1,-1,4.75,6.6,7.5
01003287,8.2,8.25,6.5,-1,-1,-1,6.75,8.2,7.5
01003288,5,7.5,4.5,-1,-1,-1,6.5,5.8,8
01003289,6.6,4.25,6.6,2.75,3.5,3.25,-1,-1,-1
01003290,8.6,8,9,6,4,8.25,-1,-1,-1
01003291,7.2,8,8.75,-1,-1,-1,7,9,8.5
01003292,6.8,7.25,5,-1,-1,-1,5.25,4.6,5.75
01003293,-1,-1,-1,-1,-1,-1,-1,-1,-1
01003294,4.6,6.75,-1,-1,-1,-1,8,5,-1
01003295,4.6,5.75,5.25,-1,-1,-1,5.75,3.8,8.25
01003296,7.6,6.5,9,-1,-1,-1,7.25,6,-1
01003297,7.4,9,8,-1,-1,-1,7.25,8.6,7.75
01003298,7.6,8.75,6.75,-1,-1,-1,6.5,9,8.5
01003299,8.6,7.25,8.4,4.5,4.25,6.5,-1,-1,-1
01003300,6.4,8,-1,-1,-1,-1,9,7.75,-1
01003301,3.6,6.75,-1,-1,-1,-1,7,5,-1
01003302,7.4,4.5,-1,-1,-1,-1,7.5,8,8
01003303,8,9,7.75,-1,-1,-1,7,8.8,7
01003304,8.6,9,6.5,-1,-1,-1,6.5,8.6,8.75
01003305,8,8,6.25,-1,-1,-1,7.5,5.2,7.25
01003306,7.2,8.5,6.5,-1,-1,-1,5.75,9.2,8.75
01003307,8.4,8.5,6.25,-1,-1,-1,6.5,9.4,8.75
01003308,8,8,7.5,-1,-1,-1,7.25,6.2,8.25
01003309,6.2,8.25,7.25,-1,-1,-1,4.75,6.4,8.25
01003310,8.4,8.5,-1,-1,-1,-1,7.75,8.25,8.75
01003311,8.4,8.25,8.25,-1,-1,-1,8,9,7.25
01003312,6.6,8.5,8,-1,-1,-1,7.75,5.6,9
01003313,8,8.75,9,-1,-1,-1,8.25,6.8,8.25
01003314,4.6,5.75,4.25,-1,-1,-1,4.5,2.6,7.25
01003315,6.6,8.5,-1,-1,-1,-1,7,8.75,7.75
01003316,8.2,8.75,9,-1,-1,-1,8.25,8.8,8.5
01003317,8,7,6,-1,-1,-1,4.5,8.2,7.75
01003318,6.6,7.75,6,-1,-1,-1,6.25,7.4,8
01003319,3,4.5,-1,-1,-1,-1,7.25,6.75,-1
01003320,5.2,6.25,5.75,-1,-1,-1,6.5,5,7.75
01003321,8.4,4.25,9.6,8.25,4.25,7,-1,-1,-1
01003322,4.4,6.5,8,-1,-1,-1,8,5,8.25
01003323,7.8,6.75,-1,3.75,6.25,7,-1,-1,-1
01003324,8.4,8.5,9,-1,-1,-1,6.75,8.8,8
01003325,5.8,8.5,9.75,-1,-1,-1,8.75,6,8.25
01003326,8.6,8.25,7.75,-1,-1,-1,6,8,7.75
01003327,7,5.75,8.2,4.25,5.75,8.25,-1,-1,-1
01003328,8.8,6,7.8,6.5,6,6.75,-1,-1,-1
01003329,8.8,9,9.75,-1,-1,-1,7.5,9.2,8.25
01003330,8.4,7.75,-1,-1,-1,-1,9.25,9.5,8.25
01003331,8,7.75,8,-1,-1,-1,6,8.8,9.25
01003332,8.4,8.5,7,-1,-1,-1,7,9.2,8.25
01003333,5.4,8.5,9.5,-1,-1,-1,8.5,2.4,8.25
01003334,4.2,6.25,7,-1,-1,-1,6.5,6,7.75
01003335,8,8,7.75,-1,-1,-1,8,6.2,7
01003336,5.6,7.75,9.25,-1,-1,-1,8.5,4.6,8.75
01003337,7.6,6,6.2,4.5,3.75,6.66,-1,-1,-1
01003338,8.8,6.75,8.8,8.75,5.75,6.25,-1,-1,-1
01003339,7,7,7.75,-1,-1,-1,6.75,7,8
01003340,7.8,8,8.25,-1,-1,-1,7.5,8.6,8
01003341,8,8.5,7.25,-1,-1,-1,6.25,8.2,9
01003342,5.6,6.25,-1,-1,-1,-1,4.5,7,-1
01003343,5.6,6.5,6.25,-1,-1,-1,6.5,8.6,7.5
01003344,5,5.25,4,-1,-1,-1,5.75,3,8.25
01003345,7.6,7.5,6.5,-1,-1,-1,7,8.2,8.75
01003346,8.4,7.5,-1,-1,-1,-1,8,8,9.25
01003347,7.6,4.75,8.6,7,3.75,8,-1,-1,-1
01003348,7.4,8.75,8,-1,-1,-1,7.5,10,9.25
01003349,7.6,8,6.75,-1,-1,-1,7,9,8
01003350,6.8,8.75,5.5,-1,-1,-1,7,8,8
01003351,5.8,8,8,-1,-1,-1,9.5,8.8,8.75
01003352,3.2,8,-1,-1,-1,-1,8,7.75,9.5
01003353,-1,-1,-1,-1,-1,-1,-1,-1,-1
01003354,5.2,6,5.75,-1,-1,-1,6,4.4,7
01003355,7.2,8.25,7.25,-1,-1,-1,8,8.8,8.5
01003356,8.6,8,5.4,4.75,8.25,7.25,-1,-1,-1
01003357,8.4,8.25,8,-1,-1,-1,7.75,9,8.75
01003358,6.2,8.25,-1,-1,-1,-1,7.75,6,-1
01003359,6.8,7.25,-1,-1,-1,-1,6.5,7.5,6.25
01003360,7.2,8.25,6.25,-1,-1,-1,6,8,8
01003361,7.8,8.25,7.5,-1,-1,-1,6.75,8.6,7.5
01003362,9.2,2.5,7.4,7,5.5,7.25,-1,-1,-1
01003363,7.4,4.5,6.6,8.5,4.5,8.25,-1,-1,-1
01003364,7.2,8.25,-1,-1,-1,-1,6,8,6.75
01003365,7.4,3.75,6.4,3.75,4.5,8,-1,-1,-1
01003366,8.8,7,6.75,-1,-1,-1,7.75,9,8.25
01003367,7.8,5,6,3.75,5,6.5,-1,-1,-1
01003368,7.8,8.25,5.5,-1,-1,-1,7.25,6.4,8.75
01003369,7.2,8.5,7.75,-1,-1,-1,7,6.2,8.75
01003370,7.8,8.5,6.25,-1,-1,-1,5,8.6,7.5
01003371,7,5,-1,-1,-1,-1,5.5,6.5,2
01003372,8.2,8.5,8.8,6.25,5.75,7.5,-1,-1,-1
01003373,8,6.25,8.4,3.75,6.25,6.75,-1,-1,-1
01003374,7,7.25,6.25,-1,-1,-1,5.5,8,8.75
01003375,7.6,8,8.25,-1,-1,-1,7.75,8.6,8.75
01003376,3,7.75,5.75,-1,-1,-1,5.5,2,8
01003377,7.6,5.75,8.6,6.75,4.75,5,-1,-1,-1
01003378,6.8,8,6.75,-1,-1,-1,6.5,4.4,8.75
01003379,7.8,7.5,6.5,-1,-1,-1,6.25,6.8,6.75
01003380,7.4,6.5,-1,-1,-1,-1,8.5,9.25,9
01003381,8,7.25,8,6.25,7.75,7,-1,-1,-1
01003382,7.8,7.5,-1,-1,-1,-1,6.75,9,9.5
01003383,7.8,8.75,5.5,-1,-1,-1,6.25,8,8.25
01003384,8.2,8.75,4.5,-1,-1,-1,6,7.4,7.25
01003385,7,7,7,-1,-1,-1,6,7.6,8
01003386,7.8,3.25,8.6,5.75,3,6.5,-1,-1,-1
01003387,7.6,8.5,6.25,-1,-1,-1,5.75,9.2,7.5
01003388,7.4,8,6.75,-1,-1,-1,7.25,4.8,7
01003389,8,7.25,8.8,5.75,4.5,8.75,-1,-1,-1
01003390,7.4,7.75,5.5,-1,-1,-1,6,6,7.25
01003391,6.4,8.5,5.5,-1,-1,-1,7,7.2,8
01003392,4.4,7.75,5.75,-1,-1,-1,5.25,4.4,7.75
01003393,8.6,5.5,9.4,5.75,5.25,6.75,-1,-1,-1
01003394,6,6.25,4.75,-1,-1,-1,6.25,6.4,8
01003395,8.2,8.25,6.75,-1,-1,-1,6.75,8.4,9.25
01003396,4.6,7.25,-1,-1,-1,-1,7,8,7.25
01003397,8.8,-1,-1,-1,8.5,7.5,-1,-1,-1
01003398,8.6,6.25,-1,-1,-1,-1,7.5,8.5,5.75
01003399,8.6,3,9.2,5.5,4.25,7.17,-1,-1,-1
01003400,8,8,7.5,-1,-1,-1,7.25,8.8,7.25
01003401,8.4,8.25,-1,-1,-1,-1,7.75,8.75,8.5
01003402,6.6,8,5,-1,-1,-1,5.75,8.6,8
01003403,6.8,4,9,5.5,3.75,5.5,-1,-1,-1
01003404,7,6.25,7.75,-1,-1,-1,7,7.8,7.5
01003405,8.6,6,5.75,-1,-1,-1,6.75,8,8
01003406,7,5.75,7.25,-1,-1,-1,7,8.4,8
01003407,8.4,3.5,8.4,8.25,4,6.25,-1,-1,-1
01003408,7.8,7.5,8.25,-1,-1,-1,7.25,8.2,8.25
01003409,7,6,8.25,-1,-1,-1,6.75,4.6,9
01003410,7.4,6.75,-1,-1,-1,-1,8.75,9,8.5
01003411,7.6,7,6.75,-1,-1,-1,5.5,7.6,8
01003412,-1,4.25,-1,-1,-1,-1,9.25,8.5,-1
01003413,8.2,8.5,8.25,-1,-1,-1,7.25,9.2,8.5
01003414,7.6,7,5.5,-1,-1,-1,7,5.6,6
01003415,7.6,4.25,8.6,7,4.25,7.5,-1,-1,-1
01003416,7.4,6.5,7,-1,-1,-1,6.5,8.8,7.25
01003417,3.6,4.5,-1,-1,-1,-1,5,5.5,-1
01003418,7.2,4.5,7.6,5.75,4.5,6.75,-1,-1,-1
01003419,4.2,6.75,-1,-1,-1,-1,3.75,4.75,-1
01003420,7.6,5.25,6.75,-1,-1,-1,7.5,3.8,8
01003421,7,3,6,2.25,2.75,6.67,-1,-1,-1
01003422,2.8,5.5,3.5,-1,-1,-1,4.75,6.2,7.25
01003423,8.8,4.25,8.4,5.25,5.5,8.75,-1,-1,-1
01003424,6,3.75,-1,-1,-1,-1,8.25,8,8
01003425,-1,-1,-1,-1,-1,-1,-1,-1,-1
01003426,9.2,8.5,7.5,-1,-1,-1,9.25,9,8.5
01003427,8,8.75,8.75,-1,-1,-1,6,9.6,8.75
01003428,5.4,4.75,-1,-1,-1,-1,5.75,6.25,-1
01003429,7.4,6.25,9.6,6,5.5,7.75,-1,-1,-1
01003430,5.8,7.75,7.25,-1,-1,-1,6.25,6.6,8
01003431,7.4,6.5,6.5,-1,-1,-1,6.75,4.2,8.75
01003432,3.6,5,-1,-1,-1,-1,4.75,5,5.5
01003433,6.8,7,7,-1,-1,-1,6.5,6.8,7.5
01003434,7.8,8,8,-1,-1,-1,5.75,9.2,7.75
01003435,6.6,7.5,-1,-1,-1,-1,7,8.75,8.5
01003436,4.2,3.25,-1,-1,-1,-1,6.75,6.75,-1
01003437,7,6.25,-1,-1,-1,-1,6.25,7.5,6
01003438,7.8,8,7.8,-1,-1,-1,-1,-1,-1
01003439,3.4,2.75,-1,-1,-1,-1,2.75,4.75,-1
01003440,7.8,8,8.5,-1,-1,-1,8.5,9,8.25
01003441,6.2,6.25,6,-1,-1,-1,5.25,7.4,8.5
01003442,8,8.5,7.25,-1,-1,-1,7.5,8.8,9
01003443,6.6,4.75,8.6,2.75,4.25,7.75,-1,-1,-1
01003444,7.4,7.75,7.25,-1,-1,-1,6.75,5,8.75
01003445,6.2,7.25,5.25,-1,-1,-1,6.75,3.4,9.5
01003446,8.6,3.5,9.2,5.75,4.5,6,-1,-1,-1
01003447,8,8.75,8,-1,-1,-1,7.5,9.6,8
01003448,8.6,4.25,8.2,7.5,3.25,6.25,-1,-1,-1
01003449,9,9.5,8.75,-1,-1,-1,9.25,9.6,8
01003450,7.2,8.5,7.75,-1,-1,-1,7,9.4,7.25
01003451,7.8,3.5,8,6.75,4.25,6.25,-1,-1,-1
01003452,6,5.66,-1,-1,-1,-1,8,8.25,8.75
01003453,7.4,9,7.25,-1,-1,-1,6,8.8,8
01003454,7.2,8.5,7.5,-1,-1,-1,8.75,8,8.5
01003455,7.6,8,7.5,-1,-1,-1,5,8.2,8.5
01003456,7.8,7.5,7,-1,-1,-1,6.75,8.2,7
01003457,7.2,-1,6.8,6.75,-1,-1,-1,-1,-1
01003458,6.8,6.33,5.25,-1,-1,-1,5.75,7.2,7.75
01003459,8.6,8.5,8,-1,-1,-1,8.5,9.2,8.25
01003460,7,7.75,5.25,-1,-1,-1,5.5,7.6,8.25
01003461,7.6,8,8.75,-1,-1,-1,9.25,7.8,8
01003462,8.4,4.25,9.2,9,5.5,7,-1,-1,-1
01003463,7.8,5.5,8,7.25,4.5,7.5,-1,-1,-1
01003464,8.2,7.5,7.75,-1,-1,-1,7.25,7.4,7.75
01003465,7.4,3,9.4,6.75,3.5,6,-1,-1,-1
01003466,8.4,8,7.5,-1,-1,-1,6.25,7,7
01003467,7.6,7.75,-1,-1,-1,-1,7.75,9,7.25
01003468,7.4,7.25,6.5,-1,-1,-1,5,8,7.5
01003469,5.2,6.5,5,-1,-1,-1,4.75,3.6,7.25
01003470,7.2,5,7.4,8.25,3.5,6.75,-1,-1,-1
01003471,9,3.75,7.2,7.25,4,7,-1,-1,-1
01003472,8.8,7.25,9,8.25,5,7,-1,-1,-1
01003473,5.6,7,6.5,-1,-1,-1,5.25,8,8.25
01003474,8.2,8,9.4,7.5,6.5,6,-1,-1,-1
01003475,7,5.75,-1,-1,-1,-1,6.75,8.25,7.25
01003476,8.6,8.5,-1,-1,-1,-1,8.5,9.25,8.5
01003477,7,3.5,5.8,2.75,3.75,7,-1,-1,-1
01003478,7,8,7.5,-1,-1,-1,6,8.2,8
01003479,5.2,7,7.5,-1,-1,-1,7.25,8.8,8
01003480,8.6,8.5,8.4,8.25,5.25,8,-1,-1,-1
01003481,8.2,8,5.75,-1,-1,-1,6.5,8.6,8.25
01003482,8.8,8.25,7.5,-1,-1,-1,8.25,9.4,8.25
01003483,8.6,8,9.4,7.75,8.25,8.75,-1,-1,-1
01003484,8.6,8.5,8.75,-1,-1,-1,8,7.8,9.5
01003485,4.2,7.25,5.75,-1,-1,-1,5,3.2,7.75
01003486,7.4,7.5,-1,-1,-1,-1,6.25,8.75,8.25
01003487,7.4,-1,8.4,7.25,3.75,-1,-1,-1,-1
01003488,8.2,7,8.8,8.75,6,7,-1,-1,-1
01003489,7.4,6,7.5,-1,-1,-1,7.25,9.8,7.75
01003490,3.4,5.75,-1,-1,-1,-1,4.5,5.5,-1
01003491,8.8,8.25,6.5,-1,-1,-1,6.25,6.8,7.5
01003492,6.2,6.25,6.5,-1,-1,-1,6.75,7.6,8.5
01003493,4.6,6.25,-1,-1,-1,-1,5.25,5,-1
01003494,8.8,7.75,7.5,-1,-1,-1,7.25,8.4,7.5
01003495,6,3,3.4,3.75,3.75,5.75,-1,-1,-1
01003496,8,7,6.5,-1,-1,-1,7.25,4.6,9.5
01003497,7.4,7.5,5,-1,-1,-1,5.25,3.2,6.25
01003498,5.4,7.5,6.75,-1,-1,-1,7,5,8
01003499,2.8,5,-1,-1,-1,-1,6.25,3.75,-1
01003500,7.6,8.5,7.75,-1,-1,-1,7,7.6,7.25
01003501,8.2,8.75,7.5,-1,-1,-1,6.75,9.4,8.25
01003502,4.8,6,-1,-1,-1,-1,6.75,5.75,-1
01003503,5.6,8,8.5,-1,-1,-1,7.75,2.8,8.25
01003504,7.8,8,8,-1,-1,-1,7.75,6,9
01003505,3.2,6.5,3.25,-1,-1,-1,4.75,2.2,5.75
01003506,6.8,8.25,-1,-1,-1,-1,8.25,9.25,6.5
01003507,4.8,6,4.25,-1,-1,-1,4.5,5.4,8
01003508,3.2,4.67,-1,-1,-1,-1,5,5.25,-1
01003509,7.8,7,8.4,5,5.75,6.75,-1,-1,-1
01003510,7.4,7.66,7,-1,-1,-1,5.25,8.2,6.75
01003511,7.8,7.25,7.25,-1,-1,-1,7.75,7.4,7.25
01003512,8,7.75,3.8,6,1.25,4,-1,-1,-1
01003513,7.4,6.25,-1,-1,-1,-1,7.75,9,7.75
01003514,5.2,5.25,7,-1,-1,-1,6.25,6,-1
01003515,8.2,4.75,9,7.25,4,5.75,-1,-1,-1
01003516,8.2,6.5,-1,-1,-1,-1,7,8.75,9.25
01003517,5,5.5,-1,-1,-1,-1,3.25,4.5,-1
01003518,6.6,5.5,7.5,-1,-1,-1,5.75,8.2,7.75
01003519,7.8,6.75,8,-1,-1,-1,7.5,4,9
01003520,-1,4.75,-1,-1,-1,-1,6.75,7,-1
01003521,7.2,2.75,8,4.5,3.25,3.5,-1,-1,-1
01003522,8.2,8,7,8.5,4.5,6,-1,-1,-1
01003523,-1,-1,-1,-1,-1,-1,5.75,4.5,5.75
01003524,7.2,7,6,-1,-1,-1,-1,-1,-1
01003525,8.8,7.25,6.6,8.25,3.75,6,-1,-1,-1
01003526,6.2,6.5,3.4,6.5,4.25,5.66,-1,-1,-1
01003527,8.4,7.5,7.2,4,7.25,7.25,-1,-1,-1
01003528,8.4,7.75,9.2,9,6,7.75,-1,-1,-1
01003529,7.4,7.5,8.5,-1,-1,-1,7.25,7,8.5
01003530,7.8,4.75,9.6,7.25,6.5,7,-1,-1,-1
01003531,7.4,6.75,8.5,-1,-1,-1,6.5,6,6.5
01003532,6.6,3.5,6.25,-1,-1,-1,6.5,4,6.75
01003533,6.6,4.5,9.2,3.5,3.75,5.75,-1,-1,-1
01003534,8.6,5.5,8.8,8.5,4.5,7,-1,-1,-1
01003535,7,6.75,6.5,-1,-1,-1,6.5,7.2,8.75
01003536,4.2,5,-1,-1,-1,-1,7.25,7.75,5.75
01003537,7.6,6,8.4,7.75,4.5,6.25,-1,-1,-1
01003538,7.2,6.5,7.25,-1,-1,-1,6.75,7,7.5
01003539,9.2,7.75,9,-1,-1,-1,8.5,9.8,9
01003540,7.4,7.25,7.25,-1,-1,-1,7.25,8,8
01003541,8,4,8.2,6.5,4.25,6.75,-1,-1,-1
01003542,-1,-1,-1,-1,-1,-1,-1,-1,-1
01003543,8,8,7.75,-1,-1,-1,8,8.8,7.5
01003544,5,6.5,-1,-1,-1,-1,4.5,4.25,-1
01003545,7.6,8,5.25,-1,-1,-1,8.25,8,7.5
01003546,6.8,6.5,-1,-1,-1,-1,4.5,5,-1
01003547,8.8,7.25,7.8,6.75,5.25,8.5,-1,-1,-1
01003548,4,6.75,3.75,-1,-1,-1,6.25,8.8,8
01003549,8.6,9.25,8.25,-1,-1,-1,5.75,9.4,8.75
01003550,5,7.75,5,-1,-1,-1,4.75,8,7.25
01003551,7.6,5.75,5.6,6,4.75,8,-1,-1,-1
01003552,6.6,5.25,8,7.75,5.25,4.25,-1,-1,-1
01003553,7.8,6.25,9.6,6.25,4.5,7.25,-1,-1,-1
01003554,7.8,8.25,7.25,-1,-1,-1,7,7.2,6.75
01003555,5,9,9,-1,-1,-1,7,2.2,9.25
