Số báo danh,Toán,Văn,Ngoại Ngữ,Lý,Hoá,Sinh,Sử,Địa lý,GDCD
01000094,-1,-1,-1,-1,-1,-1,-1,-1,-1
01000095,8,6,6.5,-1,-1,-1,8.75,9,9.25
01000096,7.6,8.25,6.75,-1,-1,-1,7.75,7.8,9
01000097,8.2,8.5,7.75,-1,-1,-1,7,9.6,8.5
01000098,7.4,8.5,8.5,-1,-1,-1,7.25,8,8.25
01000099,7.6,8,5,-1,-1,-1,8.5,9.2,8
01000100,3.8,5.5,5.5,-1,-1,-1,4.25,5.6,7.75
01000101,8.2,7.25,7.6,5.25,3.25,6.5,-1,-1,-1
01000102,8.8,8,9,4.75,8,7.25,-1,-1,-1
01000103,8.4,8.75,7,8.5,6.5,8.5,-1,-1,-1
01000104,7.2,8.5,7,-1,-1,-1,6.25,9,8
01000105,7,8.5,7.75,-1,-1,-1,6.75,7,8
01000106,8.4,2.25,8.6,5.75,3.75,5,-1,-1,-1
01000107,7.4,8,7.4,5.25,3.75,7.5,-1,-1,-1
01000108,8.6,9,7,-1,-1,-1,6.5,9,8.75
01000109,8.2,-1,8,6.75,-1,-1,-1,-1,-1
01000110,8.6,7.5,9.5,-1,-1,-1,6.5,8,-1
01000111,8.6,9,6.75,-1,-1,-1,5,8.8,7.75
01000112,7.2,6.5,7.75,-1,-1,-1,6.5,9.6,8.25
01000113,9.2,8.75,8,-1,-1,-1,8,9.4,9.25
01000114,6.4,6.75,-1,-1,-1,-1,6,6.5,-1
01000115,8.2,8,7.6,4.5,5.25,7,-1,-1,-1
01000116,8.2,8,9,-1,-1,-1,7.25,9,9.25
01000117,8,8,7.75,-1,-1,-1,5.25,7.8,7.75
01000118,7,7.5,6.25,-1,-1,-1,6.5,8.6,8
01000119,5,5.25,-1,-1,-1,-1,6.5,8,7.5
01000120,7.2,7.75,9.25,-1,-1,-1,8.5,8.4,8.25
01000121,8.2,8.25,9.25,-1,-1,-1,7.75,8.8,9
01000122,8.6,4.25,8.4,8.75,4.75,5.5,-1,-1,-1
01000123,7,6,4.2,5.5,7.25,8,-1,-1,-1
01000124,7.2,6.75,7,-1,-1,-1,6.75,7.4,8
01000125,4.8,6.25,5.25,-1,-1,-1,7,4.8,6.25
01000126,8.4,3.5,6.4,6.75,3.75,7.5,-1,-1,-1
01000127,4.6,7.25,7.75,-1,-1,-1,7,4,8.75
01000128,-1,7.75,-1,-1,-1,-1,8.75,6.5,-1
01000129,8.8,8,-1,6.75,4.75,7.5,-1,-1,-1
01000130,9.4,4.75,7.2,8.75,4,4.5,-1,-1,-1
01000131,8.2,7,6.2,6,3,6.25,-1,-1,-1
01000132,8.6,4.5,8.4,8,5,6,-1,-1,-1
01000133,7.4,8.75,6,-1,-1,-1,7.25,8.6,7.75
01000134,7,8.5,7,-1,-1,-1,7.25,8.2,8.5
01000135,8.6,8.25,8.4,4,4.25,6.25,-1,-1,-1
01000136,7.6,8,7.75,-1,-1,-1,7.25,9,8.25
01000137,8.2,2.75,8,7.75,4.5,7,-1,-1,-1
01000138,7.8,8.75,5.75,-1,-1,-1,7,9,8
01000139,7.6,9.25,8.25,-1,-1,-1,8,8.6,9
01000140,5.8,7.5,7.25,-1,-1,-1,6.5,6.6,8.75
